"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region"
"Mysore pak","sugar","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Mysore pak","ghee","vegetarian",5,20,"sweet","dessert","Karnataka","South"
"Obbattu holige","Maida flour","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","turmeric","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","coconut","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","chickpeas","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","jaggery","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","ghee","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Obbattu holige","cardamom","vegetarian",180,60,"sweet","main course","Karnataka","South"
"Palathalikalu","Rice flour","vegetarian",10,25,"sweet","dessert","Andhra Pradesh","South"
"Palathalikalu","milk","vegetarian",10,25,"sweet","dessert","Andhra Pradesh","South"
"Poornalu","Chana dal","vegetarian",240,60,"sweet","dessert","Andhra Pradesh","South"
"Poornalu","jaggery","vegetarian",240,60,"sweet","dessert","Andhra Pradesh","South"
"Pongal","Rice","vegetarian",5,20,"sweet","dessert","Tamil Nadu","South"
"Pongal","jaggery","vegetarian",5,20,"sweet","dessert","Tamil Nadu","South"
"Pongal","cashews","vegetarian",5,20,"sweet","dessert","Tamil Nadu","South"
"Pongal","ghee","vegetarian",5,20,"sweet","dessert","Tamil Nadu","South"
"Pootharekulu","Rice flour","vegetarian",10,60,"sweet","dessert","Andhra Pradesh","South"
"Pootharekulu","powdered sugar","vegetarian",10,60,"sweet","dessert","Andhra Pradesh","South"
"Pootharekulu","ghee","vegetarian",10,60,"sweet","dessert","Andhra Pradesh","South"
"Qubani ka meetha","Apricots","vegetarian",10,20,"sweet","dessert","Telangana","South"
"Qubani ka meetha","sugar syrup","vegetarian",10,20,"sweet","dessert","Telangana","South"
"Sheer korma","Vermicelli pudding","vegetarian",10,20,"sweet","dessert","Telangana","South"
"Sheer korma","milk","vegetarian",10,20,"sweet","dessert","Telangana","South"
"Unni Appam","Rice flour","vegetarian",10,20,"sweet","dessert","Tamil Nadu","South"
"Unni Appam","banana","vegetarian",10,20,"sweet","dessert","Tamil Nadu","South"
"Unni Appam","jaggery","vegetarian",10,20,"sweet","dessert","Tamil Nadu","South"
"Unni Appam","coconut","vegetarian",10,20,"sweet","dessert","Tamil Nadu","South"
"Kajjikaya","Rice flour","vegetarian",40,15,"sweet","dessert","Andhra Pradesh","South"
"Kajjikaya","jaggery","vegetarian",40,15,"sweet","dessert","Andhra Pradesh","South"
"Kajjikaya","coconut","vegetarian",40,15,"sweet","dessert","Andhra Pradesh","South"
"Anarsa","Rice flour","vegetarian",10,50,"sweet","dessert","Maharashtra","West"
"Anarsa","jaggery","vegetarian",10,50,"sweet","dessert","Maharashtra","West"
"Anarsa","khus-khus seeds","vegetarian",10,50,"sweet","dessert","Maharashtra","West"
"Basundi","Sugar","vegetarian",10,35,"sweet","dessert","Gujarat","West"
"Basundi","milk","vegetarian",10,35,"sweet","dessert","Gujarat","West"
"Basundi","nuts","vegetarian",10,35,"sweet","dessert","Gujarat","West"
"Dhondas","Cucumber","vegetarian",10,50,"sweet","dessert","Maharashtra","West"
"Dhondas","rava","vegetarian",10,50,"sweet","dessert","Maharashtra","West"
"Doodhpak","Milk","vegetarian",10,60,"sweet","dessert","Gujarat","West"
"Doodhpak","rice","vegetarian",10,60,"sweet","dessert","Gujarat","West"
"Doodhpak","sugar","vegetarian",10,60,"sweet","dessert","Gujarat","West"
"Doodhpak","dry fruits","vegetarian",10,60,"sweet","dessert","Gujarat","West"
"Mahim halwa","Semolina","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Mahim halwa","sugar","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Modak","Rice flour","vegetarian",10,15,"sweet","dessert","Maharashtra","West"
"Modak","coconut","vegetarian",10,15,"sweet","dessert","Maharashtra","West"
"Modak","jaggery ","vegetarian",10,15,"sweet","dessert","Maharashtra","West"
"Shankarpali","Sugar","vegetarian",10,35,"sweet","dessert","Maharashtra","West"
"Shankarpali","ghee","vegetarian",10,35,"sweet","dessert","Maharashtra","West"
"Shankarpali","maida flour","vegetarian",10,35,"sweet","dessert","Maharashtra","West"
"Shankarpali","semolina","vegetarian",10,35,"sweet","dessert","Maharashtra","West"
"Shrikhand","Curd","vegetarian",10,720,"sweet","dessert","Maharashtra","West"
"Shrikhand","sugar","vegetarian",10,720,"sweet","dessert","Maharashtra","West"
"Shrikhand","saffron","vegetarian",10,720,"sweet","dessert","Maharashtra","West"
"Shrikhand","cardamom","vegetarian",10,720,"sweet","dessert","Maharashtra","West"
"Sutar feni","Maida","vegetarian",15,55,"sweet","dessert","Maharashtra","West"
"Sutar feni","sugar","vegetarian",15,55,"sweet","dessert","Maharashtra","West"
"Sutar feni","ghee","vegetarian",15,55,"sweet","dessert","Maharashtra","West"
"Maach Jhol","Fish","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Maach Jhol","potol","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Maach Jhol","tomato","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Maach Jhol","chillies","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Maach Jhol","ginger","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Maach Jhol","garlic","non vegetarian",10,40,"spicy","main course","Assam","North East"
"Pork Bharta","Boiled pork","non vegetarian",-1,-1,"spicy","main course","Tripura","North East"
"Pork Bharta","onions","non vegetarian",-1,-1,"spicy","main course","Tripura","North East"
"Pork Bharta","chillies","non vegetarian",-1,-1,"spicy","main course","Tripura","North East"
"Pork Bharta","ginger and garlic","non vegetarian",-1,-1,"spicy","main course","Tripura","North East"
"Chak Hao Kheer","Rice","vegetarian",240,45,"sweet","dessert","Manipur","North East"
"Chak Hao Kheer","milk","vegetarian",240,45,"sweet","dessert","Manipur","North East"
"Chak Hao Kheer","sugar","vegetarian",240,45,"sweet","dessert","Manipur","North East"
"Chak Hao Kheer","cardamom","vegetarian",240,45,"sweet","dessert","Manipur","North East"
"Galho","Rice","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Galho","axone","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Galho","salt","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Galho","water","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Galho","chillies","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Galho","pork","non vegetarian",5,15,"spicy","main course","Nagaland","North East"
"Aloo gobi","Cauliflower","vegetarian",10,20,"spicy","main course","Punjab","North"
"Aloo gobi","potato","vegetarian",10,20,"spicy","main course","Punjab","North"
"Aloo gobi","garam masala","vegetarian",10,20,"spicy","main course","Punjab","North"
"Aloo gobi","turmeric","vegetarian",10,20,"spicy","main course","Punjab","North"
"Aloo gobi","curry leaves","vegetarian",10,20,"spicy","main course","Punjab","North"
"Aloo tikki","Rice flour","vegetarian",5,20,"spicy","main course","Punjab","North"
"Aloo tikki","potato","vegetarian",5,20,"spicy","main course","Punjab","North"
"Aloo tikki","bread crumbs","vegetarian",5,20,"spicy","main course","Punjab","North"
"Aloo tikki","garam masala","vegetarian",5,20,"spicy","main course","Punjab","North"
"Aloo tikki","salt","vegetarian",5,20,"spicy","main course","Punjab","North"
"Aloo matar","Potato","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo matar","peas","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo matar","chillies","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo matar","ginger","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo matar","garam masala","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo matar","garlic","vegetarian",5,40,"spicy","main course","Punjab","North"
"Aloo methi","Potato","vegetarian",10,40,"bitter","main course","Punjab","North"
"Aloo methi","fenugreek leaves","vegetarian",10,40,"bitter","main course","Punjab","North"
"Aloo methi","chillies","vegetarian",10,40,"bitter","main course","Punjab","North"
"Aloo methi","salt","vegetarian",10,40,"bitter","main course","Punjab","North"
"Aloo methi","oil","vegetarian",10,40,"bitter","main course","Punjab","North"
"Aloo shimla mirch","Potato","vegetarian",10,40,"spicy","main course","Punjab","North"
"Aloo shimla mirch","shimla mirch","vegetarian",10,40,"spicy","main course","Punjab","North"
"Aloo shimla mirch","garam masala","vegetarian",10,40,"spicy","main course","Punjab","North"
"Aloo shimla mirch","amchur powder","vegetarian",10,40,"spicy","main course","Punjab","North"
"Aloo shimla mirch","salt","vegetarian",10,40,"spicy","main course","Punjab","North"
"Bhatura","Chole","vegetarian",20,20,"spicy","main course","Punjab","North"
"Bhatura","rava","vegetarian",20,20,"spicy","main course","Punjab","North"
"Bhatura","yogurt","vegetarian",20,20,"spicy","main course","Punjab","North"
"Bhatura","plain flour","vegetarian",20,20,"spicy","main course","Punjab","North"
"Bhatura","baking soda","vegetarian",20,20,"spicy","main course","Punjab","North"
"Bhindi masala","Ladies finger","vegetarian",20,30,"spicy","main course","Punjab","North"
"Bhindi masala","garam masala","vegetarian",20,30,"spicy","main course","Punjab","North"
"Bhindi masala","kasuri methi","vegetarian",20,30,"spicy","main course","Punjab","North"
"Bhindi masala","tomatoes","vegetarian",20,30,"spicy","main course","Punjab","North"
"Bhindi masala","chili powder","vegetarian",20,30,"spicy","main course","Punjab","North"
"Biryani","Chicken thighs","non vegetarian",30,120,"spicy","main course","Telangana","South"
"Biryani","basmati rice","non vegetarian",30,120,"spicy","main course","Telangana","South"
"Biryani","star anise","non vegetarian",30,120,"spicy","main course","Telangana","South"
"Biryani","sweet","non vegetarian",30,120,"spicy","main course","Telangana","South"
"Biryani","green chillies","non vegetarian",30,120,"spicy","main course","Telangana","South"
"Butter chicken","Chicken","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Butter chicken","greek yogurt","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Butter chicken","cream","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Butter chicken","garam masala powder","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Butter chicken","cashew nuts","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Butter chicken","butter","non vegetarian",10,35,"spicy","main course","NCT of Delhi","North"
"Chana masala","Chickpeas","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chana masala","tomato paste","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chana masala","garam masala","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chana masala","ginger","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chana masala","red onion","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chana masala","avocado oil","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chapati","Whole wheat flour","vegetarian",10,10,"-1","main course","Maharashtra","West"
"Chapati","olive oil","vegetarian",10,10,"-1","main course","Maharashtra","West"
"Chapati","hot water","vegetarian",10,10,"-1","main course","Maharashtra","West"
"Chapati","all purpose flour","vegetarian",10,10,"-1","main course","Maharashtra","West"
"Chicken razala","Chicken","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken razala","dahi","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken razala","sesame seeds","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken razala","garam masala powder","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken razala","cashew nuts","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken razala","saffron","non vegetarian",10,35,"spicy","main course","West Bengal","East"
"Chicken Tikka masala","Naan bread","non vegetarian",10,50,"spicy","main course","Punjab","North"
"Chicken Tikka masala","tomato sauce","non vegetarian",10,50,"spicy","main course","Punjab","North"
"Chicken Tikka masala","skinless chicken breasts","non vegetarian",10,50,"spicy","main course","Punjab","North"
"Chicken Tikka masala","heavy cream","non vegetarian",10,50,"spicy","main course","Punjab","North"
"Chicken Tikka masala","garam masala","non vegetarian",10,50,"spicy","main course","Punjab","North"
"Chicken Tikka","Chicken","non vegetarian",120,45,"spicy","starter","Punjab","North"
"Chicken Tikka","whole wheat bread","non vegetarian",120,45,"spicy","starter","Punjab","North"
"Chicken Tikka","rice flour","non vegetarian",120,45,"spicy","starter","Punjab","North"
"Chicken Tikka","garam masala powder","non vegetarian",120,45,"spicy","starter","Punjab","North"
"Chicken Tikka","whole egg","non vegetarian",120,45,"spicy","starter","Punjab","North"
"Chole bhature","Chole","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chole bhature","bhatura","vegetarian",20,30,"spicy","main course","Punjab","North"
"Chole bhature","garam masala","vegetarian",20,30,"spicy","main course","Punjab","North"
